"odd_objectif","indicateur_nombre","indicateur_nom","cible_nom","année_courante","valeure_courante","unité_calcul","statut_progrès"
"2","2.a.2","Total des apports publics (aide publique au développement plus autre apports publics) alloués au secteur agricole.","Accroître, notamment grâce au renforcement de la coopération internationale, l’investissement dans l’infrastructure rurale, les services de recherche et de vulgarisation agricoles et la mise au point de technologies et de banques de plantes et de gènes d’animaux d’élevage, afin de renforcer les capacités productives agricoles des pays en développement, en particulier des pays les moins avancés.",2023,151.91,NA,"Détérioration"
"3","3.1.1","Taux de mortalité maternelle","D’ici à 2030, faire passer le taux mondial de mortalité maternelle au-dessous de 70 pour 100 000 naissances vivantes.",2023,12.19,"Maternal deaths per 100,000 live births","Cible atteinte"
"3","3.1.2","Indicateur 3.1.2 : Pourcentage de naissances ayant eu lieu en milieu hospitalier","Cible 3.1 : D’ici à 2030, faire passer le taux mondial de mortalité maternelle au-dessous de 70 pour 100 000 naissances vivantes.",2024,97.5,"Percentage (%)","Détérioration"
"3","3.2.1","Taux de mortalité des enfants de moins de 5 ans","D’ici à 2030, éliminer les décès évitables de nouveau-nés et d’enfants de moins de 5 ans, tous les pays devant chercher à ramener la mortalité néonatale à 12 pour 1 000 naissances vivantes au plus et la mortalité des enfants de moins de 5 ans à 25 pour 1 000 naissances vivantes au plus.",2023,5.52,"Number of deaths per 1,000 live births","Cible atteinte"
"3","3.2.2","Taux de mortalité néonatale","D’ici à 2030, éliminer les décès évitables de nouveau-nés et d’enfants de moins de 5 ans, tous les pays devant chercher à ramener la mortalité néonatale à 12 pour 1 000 naissances vivantes au plus et la mortalité des enfants de moins de 5 ans à 25 pour 1 000 naissances vivantes au plus.",2023,3.4,"Number of deaths per 1,000 live births","Cible atteinte"
"3","3.3.1","Nombre de nouvelles infections à VIH pour 1 000 personnes séronégatives, par sexe, âge et appartenance à un groupe de population à risque.","D’ici 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles.",2022,0.05,"Number of newly infected people per 1,000 uninfected population","Progrès limités"
"3","3.3.2","Incidence de la tuberculose pour 100 000 habitants","D’ici 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles.",2023,5.53,"Rate per 100,000 population","Détérioration"
"3","3.3.3","Incidence du paludisme pour 100 000 habitants","D’ici 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles.",2023,2.2,"Malaria incidence per 100,000 population","Détérioration"
"3","3.3.4","Incidence de l’hépatite B pour 100 000 habitants","D’ici 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles.",2023,0.32,"Rate per 100,000 population","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.3.5","Nombre de personnes pour lesquelles des interventions contre les maladies tropicales négligées sont nécessaires","D’ici 2030, mettre fin à l’épidémie de sida, à la tuberculose, au paludisme et aux maladies tropicales négligées et combattre l’hépatite, les maladies transmises par l’eau et autres maladies transmissibles.",2023,3,"Number of people","Progrès limités"
"3","3.4.1","Taux de mortalité attribuable à des maladies cardiovasculaires, au cancer, au diabète ou à des maladies respiratoires chroniques","D’ici 2030, réduire d’un tiers, par la prévention et le traitement, le taux de mortalité prématurée due à des maladies non transmissibles et promouvoir la santé mentale et le bien-être",2023,3.9,"Age-specific mortality rate per 100,000 population","Progrès limités"
"3","3.4.2","Taux de mortalité par suicide","D’ici 2030, réduire d’un tiers, par la prévention et le traitement, le taux de mortalité prématurée due à des maladies non transmissibles et promouvoir la santé mentale et le bien-être",2023,9.5,"Rate per 100,000 population","Sur la bonne voie"
"3","3.5.1","Couverture des interventions thérapeutiques (services pharmacologiques, psychosociaux, services de désintoxication et de postcure) pour les troubles liés à la toxicomanie","Renforcer la prévention et le traitement de l’abus de substances psychoactives, notamment de stupéfiants et d’alcool",NA,NA,NA,"Non disponible"
"3","3.5.2","Abus d'alcool, défini en fonction du contexte national par la consommation d'alcool pur (en litres) par habitant (âgé de 15 ans ou plus) au cours d'une année civile","Renforcer la prévention et le traitement de l’abus de substances psychoactives, notamment de stupéfiants et d’alcool",2023,7.3,"Number of litres of pure alcohol sales per person aged 15 years and older in a year","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.6.1","Taux de mortalité lié aux accidents de la route","D’ici à 2020, diminuer de moitié à l’échelle mondiale le nombre de décès et de blessures dus à des accidents de la route",2023,4.4,"Mortality rate per 100,000 population","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.7.1","Proportion de femmes en âge de procréer (15 à 49 ans) qui utilisent des méthodes modernes de planification familiale","D'ici à 2030, assurer l'accès de tous à des services de soins de santé sexuelle et procréative, y compris à des fins de planification familiale, d'information et d'éducation, et veiller à la prise en compte de la santé procréative dans les stratégies et programmes nationaux",2024,92.4,"Percentage (%)","Progrès limités"
"3","3.7.2","Taux de natalité chez les adolescentes (10 à 14 ans et 15 à 19 ans) pour 1 000 adolescentes du même groupe d’âge","D'ici à 2030, assurer l'accès de tous à des services de soins de santé sexuelle et procréative, y compris à des fins de planification familiale, d'information et d'éducation, et veiller à la prise en compte de la santé procréative dans les stratégies et programmes nationaux",2024,4,"Rate per 1,000 females","Sur la bonne voie"
"3","3.8.1","Couverture des services de santé essentiels","Faire en sorte que chacun bénéficie d’une couverture sanitaire universelle, comprenant une protection contre les risques financiers et donnant accès à des services de santé essentiels de qualité et à des médicaments et vaccins essentiels sûrs, efficaces, de qualité et d’un coût abordable.",NA,NA,NA,"Non disponible"
"3","3.8.2","Proportion de la population (personnes) consacrant une grande part de ses dépenses du ménage à certains articles de soins de santé en proportion du revenu total après impôt","Faire en sorte que chacun bénéficie d’une couverture sanitaire universelle, comprenant une protection contre les risques financiers et donnant accès à des services de santé essentiels de qualité et à des médicaments et vaccins essentiels sûrs, efficaces, de qualité et d’un coût abordable",2019,3.5,"Percentage (%)","Détérioration"
"3","3.9.1","Taux de mortalité attribué à la pollution de l'air ambiant et des ménages.","D’ici à 2030, réduire nettement le nombre de décès et de maladies dus à des substances chimiques dangereuses et à la pollution et à la contamination de l’air, de l’eau et du sol.",NA,NA,NA,"Non disponible"
"3","3.9.2","Taux de mortalité attribuable à l’insalubrité de l’eau, aux déficiences du système d’assainissement et au manque d’hygiène (accès à des services WASH inadéquats)","D’ici à 2030, réduire nettement le nombre de décès et de maladies dus à des substances chimiques dangereuses et à la pollution et à la contamination de l’air, de l’eau et du sol.",2023,19.21,"Rate per 100,000 population","Sur la bonne voie"
"3","3.9.3","Taux de mortalité attribuable à un empoisonnement accidentel","D’ici à 2030, réduire nettement le nombre de décès et de maladies dus à des substances chimiques dangereuses et à la pollution et à la contamination de l’air, de l’eau et du sol.",2023,0.37,"Rate per 100,000 population","Détérioration"
"3","3.a.1","Prévalence de la consommation actuelle de tabac chez les personnes de 15 ans ou plus (taux comparatifs par âge)","Renforcer dans tous les pays, selon qu’il convient, l’application de la Convention-cadre de l’Organisation mondiale de la Santé pour la lutte antitabac",2022,12.9,"Percentage (%)","Sur la bonne voie"
"3","3.b.1","Proportion de la population cible ayant reçu tous les vaccins prévus par le programme national","Appuyer la recherche et le développement de vaccins et de médicaments contre les maladies, transmissibles ou non, qui touchent principalement les habitants des pays en développement, donner accès, à un coût abordable, aux médicaments et vaccins essentiels, conformément à la Déclaration de Doha sur l’Accord sur les aspects des droits de propriété intellectuelle qui touchent au commerce (ADPIC) et la santé publique, qui réaffirme le droit qu’ont les pays en développement de tirer pleinement parti des dispositions de cet accord qui ménagent une flexibilité lorsqu’il s’agit de protéger la santé publique et, en particulier, d’assurer l’accès universel aux médicaments",2021,77.1,"Percentage (%)","Des progrès ont été réalisés, mais une accélération est nécessaire"
"3","3.c.1","Densité et répartition du personnel de santé","Accroître considérablement le budget de la santé et le recrutement, le perfectionnement, la formation et le maintien en poste du personnel de santé dans les pays en développement, notamment dans les pays les moins avancés et les petits États insulaires en développement.",2021,6.42,"Per 10,000 population","Non disponible"
"3","3.d.1","Application du Règlement sanitaire international (RSI) et degré de préparation aux urgences sanitaires","Renforcer les moyens dont disposent tous les pays, en particulier les pays en développement, en matière d’alerte rapide, de réduction des risques et de gestion des risques sanitaires nationaux et mondiaux.",2023,96,"Percentage (%)","Détérioration"
"3","3.b.2","Montant total net de l’aide publique au développement consacré à la recherche médicale et aux soins de santé de base.","Appuyer la recherche et le développement de vaccins et de médicaments contre les maladies, transmissibles ou non, qui touchent principalement les habitants des pays en développement, donner accès, à un coût abordable, aux médicaments et vaccins essentiels, conformément à la Déclaration de Doha sur l’Accord sur les aspects des droits de propriété intellectuelle qui touchent au commerce (ADPIC) et la santé publique, qui réaffirme le droit qu’ont les pays en développement de tirer pleinement parti des dispositions de cet accord qui ménagent une flexibilité lorsqu’il s’agit de protéger la santé publique et, en particulier, d’assurer l’accès universel aux médicaments.",2023,436.24,NA,"Sur la bonne voie"
"3","3.d.2","Pourcentage de septicémies causées par un organisme résistant aux antimicrobiens donné","Renforcer les moyens dont disposent tous les pays, en particulier les pays en développement, en matière d’alerte rapide, de réduction des risques et de gestion des risques sanitaires nationaux et mondiaux.",NA,NA,NA,"Non disponible"
"3","3.b.3","Proportion des établissements de santé disposant constamment d’un ensemble de médicaments essentiels à un coût abordable","Appuyer la recherche et le développement de vaccins et de médicaments contre les maladies, transmissibles ou non, qui touchent principalement les habitants des pays en développement, donner accès, à un coût abordable, aux médicaments et vaccins essentiels, conformément à la Déclaration de Doha sur l’Accord sur les aspects des droits de propriété intellectuelle qui touchent au commerce (ADPIC) et la santé publique, qui réaffirme le droit qu’ont les pays en développement de tirer pleinement parti des dispositions de cet accord qui ménagent une flexibilité lorsqu’il s’agit de protéger la santé publique et, en particulier, d’assurer l’accès universel aux médicaments.",NA,NA,NA,"Non disponible"
"4","4.1.1","Proportion d’enfants et de jeunes b) en fin de cycle primaire ; et c) âgés de 15 ans qui maîtrisent au moins les normes d’aptitudes minimales en i) lecture et ii) mathématiques","D’ici à 2030, faire en sorte que toutes les filles et tous les garçons suivent, sur un pied d’égalité, un cycle complet d’enseignement primaire et secondaire gratuit et de qualité, les dotant d’acquis véritablement utiles.",2023,65,"Percentage (%)","Progrès limités"
"4","4.1.2","Niveau de scolarité de la population âgée de 25 à 64 ans, selon le groupe d'âge et le sexe","D’ici à 2030, faire en sorte que toutes les filles et tous les garçons suivent, sur un pied d’égalité, un cycle complet d’enseignement primaire et secondaire gratuit et de qualité, les dotant d’acquis véritablement utiles.",2021,91,"Percentage (%)","Des progrès ont été réalisés, mais une accélération est nécessaire"
"4","4.2.1","Proportion d'enfants âgés de 24 à 59 mois dont le développement est en bonne voie en matière de santé, d'apprentissage et de bien-être psychosocial, par sexe","D’ici à 2030, faire en sorte que toutes les filles et tous les garçons aient accès à des services de développement et de prise en charge de la petite enfance et à une éducation préscolaire de qualité qui les préparent à suivre un enseignement primaire.",NA,NA,NA,"Non disponible"
"4","4.2.2","Taux de participation à des activités d’apprentissage organisées (un an avant l’âge officiel de scolarisation dans le primaire), par sexe.","D’ici à 2030, faire en sorte que toutes les filles et tous les garçons aient accès à des services de développement et de prise en charge de la petite enfance et à une éducation préscolaire de qualité qui les préparent à suivre un enseignement primaire.",2020,93,"Percentage (%)","Détérioration"
"4","4.3.1","Taux de participation de la population âgée 15 à 34 ans à un programme d’éducation et de formation scolaire","D'ici à 2030, faire en sorte que toutes les femmes et tous les hommes aient accès dans des conditions d'égalité à un enseignement technique, professionnel ou tertiaire, y compris universitaire, de qualité et d'un coût abordable",2024,84,"Percentage (%)","Progrès limités"
"4","4.4.1","Proportion d'utilisateurs d'internet ayant des compétences dans le domaine des technologies de l’information et des communications, par type de compétence","D'ici à 2030, augmenter nettement le nombre de jeunes et d'adultes disposant des compétences, notamment techniques et professionnelles, nécessaire à l'emploi, à l'obtention d'un travail décent et à l'entrepreneuriat",2018,63,"Percentage (%)","Non disponible"
"4","4.5.1","Indices de parité (femmes/hommes, urbain/rural, quintile inférieur/supérieur de richesse et autres paramètres tels que le handicap, le statut d’autochtone et les situations de conflit, à mesure que les données deviennent disponibles) pour tous les indicateurs dans le domaine de l’éducation de cette liste pouvant être ventilés","d'ici 2030, éliminer les disparités entre les sexes dans l'enseignement et assurer aux personnes vulnérables, notamment aux personnes handicapées, aux populations autochtones et aux enfants en situation vulnérable, l'égalité d'accès à tous les niveaux d'enseignement et de formation professionnelle.",2017,1,NA,"Des progrès ont été réalisés, mais une accélération est nécessaire"
"4","4.6.1","Proportion de la population âgée de 16 ou plus ayant les compétences voulues à au moins un niveau d’aptitude fixé a) en alphabétisme et b) arithmétique fonctionnels","D’ici à 2030, faire en sorte que tous les jeunes et une proportion considérable d’adultes, hommes et femmes, sachent lire, écrire et compter.",2022,45.9,"Percentage (%)","Détérioration"
"4","4.7.1","Degré d’intégration de i) l’éducation à la citoyenneté mondiale et ii) l’éducation au développement durable dans a) les politiques nationales d’éducation, b) les programmes d’enseignement, c) la formation des enseignants et d) l’évaluation des étudiants","D’ici 2030, veiller à ce que tous les apprenants acquièrent les connaissances et les compétences nécessaires pour promouvoir le développement durable, y compris, entre autres, par l’éducation au développement durable et aux modes de vie durables, les droits de l’homme, l’égalité des sexes, par la promotion d’une culture de paix et de non-violence, par la citoyenneté mondiale et par l’appréciation de la diversité culturelle et de la contribution de la culture au développement durable",2020,0.88,"Index","Non disponible"
"4","4.a.1","Proportion d’établissements scolaires offrant des services essentiels, par type de service","Construire des établissements scolaires qui soient adaptés aux enfants, aux personnes handicapées et aux deux sexes ou adapter les établissements existants à cette fin et fournir à tous un cadre d’apprentissage sûr, non violent, inclusif et efficace",2023,86.81,"Percentage (%)","Sur la bonne voie"
"4","4.b.1","Volume de l’aide publique au développement consacrée aux bourses d’études, par secteur et type de formation","D’ici 2020, augmenter nettement à l’échelle mondiale le nombre de bourses d’études offertes à des étudiants des pays en développement, en particulier des pays les moins avancés, des petits États insulaires en développement et des pays d’Afrique, pour leur permettre de suivre des études supérieures, y compris une formation professionnelle, des cursus informatiques, techniques et scientifiques et des études d’ingénieur, dans des pays développés et d’autres pays en développement",2023,5.94,"US dollar (millions)","Détérioration"
"4","4.c.1","Proportion d'enseignants possédant les qualifications minimales requises, par niveau d’études","D’ici à 2030, accroître nettement le nombre d’enseignants qualifiés, notamment au moyen de la coopération internationale pour la formation d’enseignants dans les pays en développement, surtout dans les pays les moins avancés et les petits États insulaires en développement",NA,NA,NA,"Cible atteinte"
"5","5.1.1","Indicateur 5.1.1 : Cadre juridique du Canada visant à promouvoir, faire respecter et suivre l’application des principes d’égalité des sexes et de non-discrimination fondée sur le sexe","Mettre fin, partout dans le monde, à toutes les formes de discrimination à l’égard des femmes et des filles",NA,NA,NA,"Non disponible"
"5","5.2.1","Proportion de femmes et de filles âgées de 15 ans ou plus ayant vécu en couple victimes de violences physiques, sexuelles ou psychologiques infligées au cours des 12 mois précédents par leur partenaire actuel ou un ancien partenaire, par forme de violence et par âge","Éliminer de la vie publique et de la vie privée toutes les formes de violence faite aux femmes et aux filles, y compris la traite et l’exploitation sexuelle et d’autres types d’exploitation",2018,12.1,"Percentage (%)","Non disponible"
"5","5.2.2","Indicateur 5.2.2 : Proportion de femmes et de filles âgées de 15 ans ou plus victimes de violences sexuelles infligées au cours des 12 mois précédents","Éliminer de la vie publique et de la vie privée toutes les formes de violence faite aux femmes et aux filles, y compris la traite et l’exploitation sexuelle et d’autres types d’exploitation",2018,2.9,"Percentage (%)","Non disponible"
"5","5.3.1","Proportion de femmes âgées de 20 à 24 ans qui étaient mariées ou en couple avant l’âge de 15 ans ou de 18 ans","Éliminer toutes les pratiques préjudiciables, telles que le mariage des enfants, le mariage précoce ou forcé et la mutilation génitale féminine",NA,NA,NA,"Non disponible"
"5","5.3.2","Proportion de filles et de femmes âgées de 15 à 49 ans ayant subi une mutilation ou une ablation génitale, par âge","Éliminer toutes les pratiques préjudiciables, telles que le mariage des enfants, le mariage précoce ou forcé et la mutilation génitale féminine",NA,NA,NA,"Non disponible"
"5","5.4.1","Proportion du temps consacré à des soins et travaux domestiques non rémunérés, par sexe, âge et lieu de résidence","Prendre en compte et valoriser les soins et travaux domestiques non rémunérés, par la mise en place de services publics, d’infrastructures et de politiques de protection sociale et par la promotion du partage des responsabilités dans le ménage et la famille, en fonction du contexte national",2022,1.43,"Percentage (%)","Progrès limités"
